GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
8600000US08551,ZCTA5 08551,1797,158,0.9,1,0,1.9,3.3,2.7,1.8,1.4,6.8,4,8.8,3.3,12,4.1,20.5,5.2,18.1,4.9,27.8,7.2,139609,10299,180824,22451,37.7,(X),(X),(X),(X),(X),1478,157,0.4,0.6,0,2.3,0.5,0.9,0.8,1.3,3.9,2.8,9,3.6,11.9,4.9,19,5.3,21.2,5.9,33.3,7.9,168889,30541,203286,25685,(X),(X),36.1,(X),(X),(X),1344,172,0.4,0.7,0,2.6,0.6,1,0,2.6,4.2,3.1,7.4,3.4,10.2,4.3,17.3,5.6,23.3,6.5,36.6,8.3,183434,13862,N,N,(X),(X),(X),(X),(X),(X),319,103,3.1,4.9,0,10.4,16.3,13.9,10.3,8.4,20.4,17,7.8,7.2,18.2,13.8,17.6,12.2,4.1,5.1,2.2,3.8,49821,27397,70077,15325,(X),(X),(X),(X),45.5,(X)
8600000US08553,ZCTA5 08553,243,32,1.6,1.6,1.6,1.5,2.5,1.5,6.2,4.5,6.2,3.8,8.2,4.9,12.3,5.6,27.6,7.4,7.8,4.6,25.9,6.9,111688,7421,168170,26380,43.6,(X),(X),(X),(X),(X),179,32,0,17.7,0,17.7,0,17.7,5,5.5,3.4,3,9.5,6.2,14.5,7.7,31.3,8.8,4.5,2.6,31.8,8.7,112438,13337,187119,33269,(X),(X),47.5,(X),(X),(X),156,29,0,19.9,0,19.9,0,19.9,1.3,1.6,3.8,3.4,10.9,7,15.4,8.2,29.5,8.9,5.1,3.1,34,9.7,118125,18672,N,N,(X),(X),(X),(X),(X),(X),64,18,6.3,6.1,6.3,5.6,9.4,5.9,9.4,7.6,14.1,10.1,4.7,6.2,6.3,5.6,17.2,12.1,17.2,13,9.4,7.5,73750,59973,108327,29645,(X),(X),(X),(X),32.8,(X)
8600000US08554,ZCTA5 08554,1494,91,3.7,2.9,1.6,1.9,4.8,3.2,5.3,3.3,8.7,3.5,16,5,19.7,6.8,20.3,6.3,11.2,4.7,8.6,3.9,85725,5533,99195,9415,27.2,(X),(X),(X),(X),(X),1040,93,0,3.3,0,3.3,3.9,3.7,1.7,2.5,12.4,5.5,12.6,5.3,23.6,8.6,22,7.8,13.5,6.1,10.3,5.3,95300,13477,110276,11935,(X),(X),27.7,(X),(X),(X),762,98,0,4.5,0,4.5,3,3.2,0,4.5,6.4,5,13,6.4,18.4,7.6,27.8,9.8,18.4,7.5,13,6.9,107321,28282,N,N,(X),(X),(X),(X),(X),(X),454,87,12.3,9.1,5.3,5.9,6.6,5.9,13.4,8.6,8.4,7.3,22.2,10.7,11.2,7.6,9.7,7.7,6.2,6.1,4.6,5.4,54643,10579,67124,13716,(X),(X),(X),(X),26,(X)
8600000US08555,ZCTA5 08555,294,44,4.4,3.7,0.3,0.9,3.7,2.4,3.4,2.6,1.4,1.7,13.6,4.6,19.4,6.8,20.7,8.2,20.4,6,12.6,6.3,105556,23798,123414,16197,34,(X),(X),(X),(X),(X),240,41,0.8,1.2,0.4,1.1,1.7,1.8,2.9,2.7,1.7,2.1,10.4,4.8,21.3,8.4,22.5,8.6,22.9,7.4,15.4,7.6,130833,24991,136950,16899,(X),(X),35.4,(X),(X),(X),217,39,0.9,1.3,0,14.9,1.8,2,3.2,3,1.8,2.3,10.1,4.8,22.6,9.1,20.3,8.5,22.1,7.6,17.1,8.4,132083,26414,N,N,(X),(X),(X),(X),(X),(X),54,20,20.4,18.6,0,41.9,13,10.7,5.6,7.7,0,41.9,27.8,15.2,11.1,10.4,13,13.9,9.3,10.1,0,41.9,52500,30115,62893,21893,(X),(X),(X),(X),27.8,(X)
8600000US08558,ZCTA5 08558,2578,200,5.4,3.9,2.8,2.1,1.6,2.5,1.3,1.2,2.2,1.6,10.6,3.9,4.7,2.1,8.1,2.8,10.2,3.9,53.2,5.9,210682,22588,247419,27120,34.7,(X),(X),(X),(X),(X),2131,164,4.2,3,2.3,2.7,0,1.6,1.7,1.6,1,1.1,6.7,2.9,2.9,1.7,6.9,2.6,10.7,4.1,63.6,5.5,239102,23867,280837,27266,(X),(X),31.8,(X),(X),(X),1836,187,2,1.9,0,1.9,0,1.9,2,1.8,1.1,1.3,5.7,3,2.2,1.7,5.9,2.8,11.2,4.4,69.8,5.4,"250,000+",***,N,N,(X),(X),(X),(X),(X),(X),447,137,11.4,13.9,5.4,6.1,8.9,13.8,2,3.2,7.8,7.2,29.3,18.1,10.3,9.2,13.6,10.4,7.6,8.4,3.6,5.9,55956,9359,86173,41034,(X),(X),(X),(X),48.8,(X)
8600000US08559,ZCTA5 08559,2118,169,2.6,1.8,0.8,1.2,1.7,1.6,9.1,5.3,6.8,4.1,9.7,3.8,9.3,4.2,26.4,6.8,13.7,4.3,19.8,5,115182,9766,147208,19666,34.6,(X),(X),(X),(X),(X),1462,162,0,2.4,0,2.4,0.3,0.4,3.9,3.1,3.8,2.8,6.4,3.8,9.8,5.4,29.9,7.6,19.6,6,26.3,6.8,140000,15482,173738,23027,(X),(X),37.5,(X),(X),(X),1297,168,0,2.7,0,2.7,0.4,0.5,3.4,3.2,4.1,3.1,5.1,3.4,10.3,6.1,26.4,7.3,20.9,6.7,29.4,7.7,150417,20177,N,N,(X),(X),(X),(X),(X),(X),656,144,8.5,5.9,2.4,3.8,4.9,5,20.6,15,13.6,12.1,17.2,9.3,8.7,6,18.6,13.1,0.8,0.9,4.7,5.1,51250,23979,86766,33777,(X),(X),(X),(X),26.7,(X)
8600000US08560,ZCTA5 08560,1367,133,2.6,3,2.9,3.2,0,2.5,4,4,6.7,4.8,17.6,8.8,11.6,5.6,21.4,7.3,13.6,5.7,19.5,7.3,110038,13601,156460,38251,36.6,(X),(X),(X),(X),(X),1093,141,1.6,2.5,3.6,4,0,3.1,0,3.1,3.8,4.6,21.3,10.5,11.3,6.3,22.9,8.3,14.3,6.9,21.3,8.3,115903,20222,165076,45829,(X),(X),38.1,(X),(X),(X),916,137,1.9,3,4.3,4.8,0,3.7,0,3.7,0.9,1.7,16,10.8,8.6,6.3,25.9,9.7,17,8,25.4,10.2,134352,23379,N,N,(X),(X),(X),(X),(X),(X),274,106,6.9,11.2,0,12,0,12,20.1,17.7,17.9,16.1,10.2,14.1,12.4,14.4,15.7,13.9,10.9,11.1,5.8,9.9,62500,46427,89296,38798,(X),(X),(X),(X),23.4,(X)
8600000US08561,ZCTA5 08561,102,47,0,28.3,0,28.3,13.7,23.3,0,28.3,0,28.3,25.5,25.4,4.9,12.1,18.6,28.7,37.3,36.4,0,28.3,128289,112992,113558,40582,0,(X),(X),(X),(X),(X),72,48,0,36.1,0,36.1,0,36.1,0,36.1,13.9,22.8,0,36.1,6.9,16.6,26.4,40.4,52.8,44.1,0,36.1,177727,110020,140526,36767,(X),(X),0,(X),(X),(X),57,44,0,40.8,0,40.8,0,40.8,0,40.8,0,40.8,0,40.8,0,40.8,33.3,49.6,66.7,49.6,0,40.8,178580,61259,N,N,(X),(X),(X),(X),(X),(X),30,32,0,56.2,0,56.2,46.7,53.3,0,56.2,0,56.2,53.3,53.3,0,56.2,0,56.2,0,56.2,0,56.2,-,**,N,N,(X),(X),(X),(X),0,(X)
8600000US08562,ZCTA5 08562,1768,136,3,2,1,1.2,15.5,6.9,5.9,2.9,12.2,4.8,19.5,6.2,15.8,4.5,13.6,4.1,8.7,3.4,4.9,2.9,62200,11202,80886,7865,27.4,(X),(X),(X),(X),(X),1270,114,0.2,0.4,0.4,0.5,9.7,7.5,8,4.5,5.7,3.3,21.6,8.3,18.7,6,16.9,5.4,12,4.7,6.9,4.1,80000,9055,96483,10948,(X),(X),27.5,(X),(X),(X),912,135,0,3.8,0,3.8,4.1,6.4,3,2.9,6.7,4.3,18.6,8.9,21.7,7.7,23,7.6,15.6,6.4,7.3,4.7,95877,7012,N,N,(X),(X),(X),(X),(X),(X),498,142,10,7,2.4,4.1,30.3,15.3,7.4,4.9,28.9,13.6,10,7.1,8.2,7.1,2.6,2.1,0,6.8,0,6.8,34750,16956,37917,5895,(X),(X),(X),(X),27.1,(X)
8600000US08608,ZCTA5 08608,539,141,30.6,14.4,19.7,11.7,9.8,8.1,8,12.3,3.7,6,16.5,14.5,0,6.3,9.6,10.9,2,3,0,6.3,14886,6579,31951,13059,34.1,(X),(X),(X),(X),(X),175,108,17.7,26.5,0,18,12,15.6,0,18,0,18,34.3,32.6,0,18,29.7,29.9,6.3,9.5,0,18,57813,47856,63530,30100,(X),(X),43.4,(X),(X),(X),112,91,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,53.6,44.5,0,26.3,46.4,44.5,0,26.3,0,26.3,-,**,N,N,(X),(X),(X),(X),(X),(X),364,134,36.8,16.9,29.1,16.2,8.8,9.2,11.8,18.1,5.5,8.5,8,12.5,0,9.2,0,9.2,0,9.2,0,9.2,11644,2600,16607,7731,(X),(X),(X),(X),29.7,(X)
